issuer_identifier;issuer_name;Sector
83229477;Philip Morris International, Inc.;Consumer Goods & Retail
83254121;Arcelik A.S.;Consumer Goods & Retail
83254662;National Grid Plc;Energy & Resources
83254665;National Grid Electricity Transmission plc;Energy & Resources
83267862;Williams Partners L.P.;Energy & Resources
83273262;The Wharf (Holdings) Limited;Real Estate & Property
83274063;C.V.A. S.p.A. a s.u.;Industrial & Manufacturing
83309481;CIBA Speciality Chemicals Holdings Inc.;Industrial & Manufacturing
83314669;Windstream Services, LLC;Telecommunications & Media
83315064;Windstream Holdings of the Midwest, Inc.;Telecommunications & Media
83336262;Downer Group Finance Pty Limited;Financial Services
83354868;Fresenius Finance B.V.;Healthcare & Pharmaceuticals
83359463;Rockwood Specialties Group, Inc.;Industrial & Manufacturing
83361262;NGG Finance Plc;Financial Services
83400064;Clarendon Alumina Production Limited (CAP);Industrial & Manufacturing
83400862;Elektra Noreste, S.A.;Energy & Resources
83403662;Burger King Corporation;Consumer Goods & Retail
83410064;Centrica plc;Energy & Resources
83439462;Cresud S.A.C.I.F. y A.;Consumer Goods & Retail
83442062;PT Perusahaan Gas Negara Tbk;Energy & Resources
83444469;The McClatchy Company;Telecommunications & Media
83462873;Bunge Finance Europe B.V.;Financial Services
83467863;Veolia Environnement S.A.;Energy & Resources
83488872;GKN Holdings Limited;Unassigned
83539266;Woodside Energy Group Ltd;Energy & Resources
83541469;Equatorial Para Distribuidora de Energia S.A.;Energy & Resources
83541472;Rede Energia S.A.;Energy & Resources
83546666;G City Europe Limited;Real Estate & Property
83549491;Crown Cork & Seal Company, Inc.;Consumer Goods & Retail
83549504;Crown Americas LLC;Consumer Goods & Retail
83549565;Crown European Holdings, SA;Consumer Goods & Retail
83555667;Toys 'R' Us - Delaware, Inc.;Consumer Goods & Retail
83564866;IOI Corporation Berhad;Consumer Goods & Retail
83564872;Road King Infrastructure Ltd.;Transportation & Logistics
83573666;Teollisuuden Voima Oyj (TVO);Energy & Resources
83583068;Aluminum Corporation of China Limited;Industrial & Manufacturing
83583267;ZFS Finance (USA) Trust II;Financial Services
83598866;Energisa S.A.;Energy & Resources
83612466;Heidelberg Materials AG;Industrial & Manufacturing
83626266;Dongfeng Motor Group Company Limited;Industrial & Manufacturing
83655068;Affiliated Computer Services Inc.;Technology & Software
83717466;Spectrum Brands, Inc.;Consumer Goods & Retail
83726076;Fortum Oyj;Energy & Resources
83746466;Solvay SA;Industrial & Manufacturing
83748066;CLISA-Compania Latinoamericana de Infraestructura y Servicios;Industrial & Manufacturing
83754669;RELX (Investments) plc;Professional Services & Consulting
83771866;Rhodia SA;Industrial & Manufacturing
83778266;PT Pakuwon Jati Tbk;Unassigned
83786289;UGI Utilities, Inc.;Energy & Resources
83790874;South Carolina Fuel Company;Energy & Resources
83790879;Public Service Company of North Carolina, Incorporated;Energy & Resources
83826267;Grupo Senda Autotransporte, S.A. de C.V. (Grupo Senda);Transportation & Logistics
83844666;The Western Union Company;Financial Services
83852666;Empresa Generadora de Electricidad Itabo, S.A.;Energy & Resources
83969308;Nabors Industries, Inc.;Energy & Resources
83977066;Stora Enso Oyj;Industrial & Manufacturing
83978877;ConocoPhillips Canada Funding Company I;Energy & Resources
83984066;Anglo American Capital plc;Energy & Resources
83986866;Bon-Ton Department Stores Inc.;Consumer Goods & Retail
83987266;Bonstores Realty One, LLC;Real Estate & Property
83987271;Bonstores Realty Two, LLC;Real Estate & Property
83997707;Mountaineer Gas Company;Energy & Resources
84017070;Statkraft AS;Energy & Resources
84130923;Energy Transfer LP;Energy & Resources
84132870;LG Electronics Inc.;Technology & Software
84148870;Aker Solutions ASA;Industrial & Manufacturing
84155870;JSC National Atomic Company Kazatomprom;Energy & Resources
84189670;Rexel SA;Industrial & Manufacturing
84250680;SK Broadband Co., Ltd.;Telecommunications & Media
84256087;Nakilat Inc.;Transportation & Logistics
84275270;Coca-Cola Amatil Limited;Consumer Goods & Retail
84296069;Sydney Airport Finance Company Pty Limited;Transportation & Logistics
84312309;INEOS Group Holdings S.A.;Energy & Resources
84327579;Edison Spa;Energy & Resources
84370685;Plains End Financing, LLC;Financial Services
84463139;General Mills Cereals LLC;Consumer Goods & Retail
84481473;Rockies Express Pipeline LLC;Energy & Resources
84490070;FirstGroup plc;Transportation & Logistics
84498470;Indian Oil Corporation Ltd;Energy & Resources
84503296;QVC, Inc.;Consumer Goods & Retail
84522089;Seagate Technology Holdings Public Limited Company;Technology & Software
84530270;Orsted A/S;Energy & Resources
84556073;Datang International Power Generation Company Ltd;Energy & Resources
84565070;Dubai Holding Commercial Operations Group LLC;Real Estate & Property
84602670;PJSC Novolipetsk Steel (NLMK);Industrial & Manufacturing
84604070;Korea Expressway Corporation;Transportation & Logistics
84604073;Airport Authority Hong Kong;Transportation & Logistics
84605070;ISA Capital do Brasil S.A.;Financial Services
84654475;Empresa Generadora de Electricidad Haina, S.A.;Energy & Resources
84667074;PAO SIBUR Holding;Energy & Resources
84709476;Regal Entertainment Group;Telecommunications & Media
84709484;Regal Cinemas Corporation;Telecommunications & Media
84727471;Kellogg Holding Company Limited;Consumer Goods & Retail
84742071;Usinas Siderurgicas de Minas Gerais S.A. (Usiminas);Industrial & Manufacturing
84748271;JSC MCC EuroChem;Industrial & Manufacturing
84780470;Flowserve Corporation;Industrial & Manufacturing
84786271;Shell International Finance BV;Financial Services
84795670;DAK Americas LLC;Industrial & Manufacturing
84797470;Hopson Development Holdings Limited;Real Estate & Property
84798473;BP Capital Markets p.l.c.;Financial Services
84874093;Bite Finance International B.V.;Financial Services
84925674;OI European Group B.V.;Financial Services
84933474;Colorado Interstate Gas Company L.L.C.;Energy & Resources
84933480;El Paso Natural Gas Company, LLC;Energy & Resources
84933486;El Paso Energy Capital Trust I;Financial Services
84933492;Southern Natural Gas Company, L.L.C.;Energy & Resources
84933874;El Paso LLC;Energy & Resources
84963874;Cemig Geracao e Transmissao S.A.;Energy & Resources
84967474;Pan American Energy, S.L., Argentine Branch;Energy & Resources
84980474;Freeport-McMoRan Inc.;Energy & Resources
85025877;Bunge N.A. Finance L.P.;Financial Services
85094474;Amgen Inc.;Healthcare & Pharmaceuticals
85120874;China Yangtze Power Co., Ltd.;Energy & Resources
85135474;Agilent Technologies, Inc.;Technology & Software
85184274;Hyundai Motor Company;Transportation & Logistics
85184474;Kia Corporation;Transportation & Logistics
85186073;Quechan Indian Tribe;Professional Services & Consulting
85186675;Eaton Electric Holdings LLC;Industrial & Manufacturing
85255080;Bottling Group, LLC;Consumer Goods & Retail
85288474;PT Berlian Laju Tanker Tbk;Transportation & Logistics
85309274;PT Indika Energy Tbk;Energy & Resources
85334274;Northrop Grumman Innovation Systems;Technology & Software
85350886;Intergas Central Asia JSC;Energy & Resources
85350896;JSC National Company QazaqGaz;Energy & Resources
85365474;JSC National Company KazMunayGas;Energy & Resources
85375274;SK hynix Inc.;Technology & Software
85388074;OAO Raspadskaya;Industrial & Manufacturing
85405284;Polar Tankers Inc.;Transportation & Logistics
85493673;Mackinaw Power, LLC;Energy & Resources
85493679;Mackinaw Power Holdings, L.L.C.;Energy & Resources
85494074;Shanghai Zendai Property Limited;Real Estate & Property
85519874;Alto Parana S.A.;Energy & Resources
85586877;Empresa Nacional de Telecomunicaciones S.A.;Telecommunications & Media
85593476;American Axle & Manufacturing, Inc.;Industrial & Manufacturing
85629674;Saudi Electricity Company;Energy & Resources
85714876;Interpipe Limited;Industrial & Manufacturing
85807276;Global Yatirim Holding A.S.;Financial Services
85809674;Tata Steel Limited;Industrial & Manufacturing
85810274;Qatar Real Estate Investment Company P.J.S.C;Real Estate & Property
85834886;Qatar Alaqaria Sukuk Company (QREIC);Financial Services
85855474;SES S.A.;Telecommunications & Media
85855676;SES Global Americas Holdings Inc.;Telecommunications & Media
85871073;Lea Power Partners, LLC;Energy & Resources
85883874;Tata Steel UK Holdings Limited;Industrial & Manufacturing
85884074;Bayer AG;Healthcare & Pharmaceuticals
85886474;Transportadora de Gas Internacional S.A. ESP (TGI);Energy & Resources
85895474;Shimao Group Holdings Limited;Real Estate & Property
85979874;R.R. Donnelley & Sons Company;Professional Services & Consulting
86019475;Genting Berhad;Financial Services
86047301;Southwest Power Pool, Inc.;Energy & Resources
86092101;AES Espana B.V.;Energy & Resources
86101705;Mangistau Regional Electricity Network Company JSC;Energy & Resources
86106501;Empresas Publicas de Medellin E.S.P. (EPM);Energy & Resources
86115303;IBM International Group Capital LLC;Financial Services
86115323;Puget Sound Energy, Inc.;Energy & Resources
86209308;DTEK Energy B.V.;Energy & Resources
86223901;Odebrecht Finance Ltd.;Financial Services
86247517;The Berkshire Gas Company;Energy & Resources
86275335;Grupo Energia Bogota S.A. E.S.P. (GEB);Energy & Resources
86277502;ABB Financial Services AB;Financial Services
86281502;Kazakhstan Electricity Grid Operating Company (KEGOC);Energy & Resources
86298901;Empresa de Telecomunicaciones de Bogota, S.A., E.S.P.;Telecommunications & Media
86300904;Fingrid Oyj;Energy & Resources
86318108;TEPPCO Partners L.P.;Energy & Resources
86341308;Nabors Industries, Ltd.;Industrial & Manufacturing
86373709;Tyco Electronics Group S.A.;Technology & Software
86416711;Coso Geothermal Power Holdings, LLC;Energy & Resources
86422512;GlobalSantaFe Inc.;Energy & Resources
86451516;AusNet Finance Pty Ltd;Financial Services
86452112;El Puerto de Liverpool, S.A.B. de C.V.;Consumer Goods & Retail
86492516;NGPL PipeCo LLC;Industrial & Manufacturing
86505120;PJSC RusHydro;Energy & Resources
86518914;MHP SE;Consumer Goods & Retail
86568312;Stanley Black & Decker, Inc.;Industrial & Manufacturing
86584512;Noble Group Ltd.;Energy & Resources
86597913;RPM International Inc.;Industrial & Manufacturing
86679524;Parkway Life Real Estate Investment Trust;Real Estate & Property
86681526;Diagnosticos da America S.A.;Healthcare & Pharmaceuticals
86707525;Breeze Finance S.A., (Breeze III);Financial Services
86773217;TermoCandelaria Power, S.A.;Energy & Resources
86783542;Northumbrian Water Finance Plc;Utilities
86788943;Yorkshire Water Services Finance Limited;Utilities
86806755;PJSC Mobile TeleSystems (MTS);Telecommunications & Media
86830943;Fiat Chrysler Finance Europe SENC;Financial Services
86862543;Nielsen Company B.V. (The);Professional Services & Consulting
86862558;Nielsen Finance LLC and Nielsen Finance Co;Financial Services
86870741;KLA Corporation;Technology & Software
86884152;Kleen Energy Systems,LLC;Energy & Resources
86898939;Williams Partners Finance Corporation;Financial Services
86916742;Enjoy S.A.;Consumer Goods & Retail
86932973;Time Warner NY Cable, LLC;Telecommunications & Media
86954154;LSR Group PJSC;Industrial & Manufacturing
86955954;Digicel Group Limited;Telecommunications & Media
86968552;Thomson Reuters Corporation;Technology & Software
86971369;CJSC Transtelecom Company;Telecommunications & Media
86993751;Vedanta Resources Limited;Energy & Resources
87007567;Tattelecom PJSC;Energy & Resources
87025553;TotalEnergies Capital S.A.;Energy & Resources
87026556;ONO Finance II;Financial Services
87029754;Rio Tinto Finance (USA) Plc;Financial Services
87070575;CCSA Finance Limited;Financial Services
87089370;Heathrow Funding Limited;Financial Services
87091573;Black Hills Power, Inc.;Energy & Resources
87091576;Black Hills Corporation;Energy & Resources
87107377;Frontera Energy Corporation;Energy & Resources
87116176;Orbia Advance Corporation, S.A.B. de C.V.;Industrial & Manufacturing
87126771;Emirates Telecommunications Group Company PJSC (Etisalat);Telecommunications & Media
87131577;Broadridge Financial Solutions, Inc.;Financial Services
87143571;Seacor Holdings, Inc.;Energy & Resources
87162383;Iberdrola Finanzas, S.A.U.;Energy & Resources
87184376;Diageo Finance BV;Financial Services
87184379;Diageo Investment Corporation;Financial Services
87206776;Accenture Global Capital DAC;Professional Services & Consulting
87206783;Accenture Capital Inc.;Financial Services
87224376;Sukhoi Civil Aircraft JSC;Industrial & Manufacturing
87231249;Wyndham Worldwide Corporation;Consumer Goods & Retail
87246573;Globo Comunicacao e Participacoes S.A.;Consumer Goods & Retail
87288975;Microsoft Corporation;Technology & Software
87315575;Metinvest B.V.;Industrial & Manufacturing
87358396;OJSC Moscow Integrated Power Company;Energy & Resources
87374775;Korea District Heating Corp.;Energy & Resources
87399378;eBay Inc.;Technology & Software
87407375;Verizon Wireless Capital LLC;Financial Services
87468175;JBS S.A.;Consumer Goods & Retail
87472575;Tourism Development & Investment Company (TDIC);Consumer Goods & Retail
87482177;Axtel, S.A.B. de C.V.;Telecommunications & Media
87558775;Genneia S.A.;Energy & Resources
87568575;Devon Financing Corporation U.L.C.;Financial Services
87580975;SABIC Capital I B.V.;Financial Services
87590175;OAO AK Yakutskenergo;Energy & Resources
87639590;Altadis Finance B.V. (Imperial Tobacco);Financial Services
87639595;Altadis Emisiones Financieras (Imperial Tobacco);Financial Services
87646975;PJSC TransContainer;Transportation & Logistics
87662175;Mercedes-Benz International Finance B.V.;Financial Services
87684782;Lotte Shopping Co. Ltd;Consumer Goods & Retail
87771184;EQT Corporation;Energy & Resources
87815984;OMV Finance Limited;Financial Services
87838585;Seagate Technology International;Technology & Software
87890386;Telefonica Moviles Chile S.A. (Movistar);Telecommunications & Media
87894984;Coca-Cola Enterprises (Canada) Bottling Finance Company;Consumer Goods & Retail
87906399;HPCL-Mittal Energy Limited;Energy & Resources
87906407;Energie Baden-Wuerttemberg AG (EnBW);Energy & Resources
87962585;ALROSA PJSC;Energy & Resources
87976990;Ooredoo International Finance Limited;Financial Services
87992056;Goldcorp Inc.;Energy & Resources
88005759;Carmike Cinemas Inc.;Consumer Goods & Retail
88005770;Royalty Pharma plc;Financial Services
88005782;Civitas Resources, Inc.;Energy & Resources
88005803;Targa Resources Corp.;Energy & Resources
88005836;Berry Global, Inc.;Consumer Goods & Retail
88005847;West Technology Group, LLC;Technology & Software
88005871;Kraton Corporation;Technology & Software
88005875;Open Text Corporation;Technology & Software
88005883;Samsonite Group S.A.;Consumer Goods & Retail
88005897;Concho Resources Inc.;Energy & Resources
88005964;Callon Petroleum Company;Energy & Resources
88005996;Viridien S.A.;Energy & Resources
88006018;General Nutrition Centers, Inc.;Consumer Goods & Retail
88012792;NEP II Inc;Financial Services
88012795;Oshkosh Corporation;Industrial & Manufacturing
88048859;Servicios Corporativos Javer, S.A.B. de C.V.;Professional Services & Consulting
88049056;Daimler Mexico, S.A. de C.V.;Industrial & Manufacturing
88053856;Trinity Acquisition plc;Financial Services
88069400;Regency Energy Partners;Energy & Resources
88069401;Cinemark USA, Inc.;Consumer Goods & Retail
88069426;Helix Energy Solutions Group, Inc.;Energy & Resources
88077659;LKQ Corporation;Energy & Resources
88091656;Otter Tail Power Company;Utilities
88094257;North West Electricity Networks plc;Utilities
88095257;ENW Capital Finance plc;Financial Services
88095456;Naturgy Capital Markets, S.A.;Financial Services
88111456;ENW Finance plc;Financial Services
88113059;Yorkshire Water Services Bradford Finance Limited;Utilities
88143461;Cleco Power LLC;Energy & Resources
88143665;Dine Brands Global, Inc.;Consumer Goods & Retail
88145256;CareFusion Corporation;Healthcare & Pharmaceuticals
88145659;California Independent System Operator;Energy & Resources
88148662;Dolphin Energy Limited;Energy & Resources
88173462;Cosan S.A.;Energy & Resources
88174456;Leonardo US Holding, Inc.;Industrial & Manufacturing
88178456;PJSC Acron;Industrial & Manufacturing
88193656;Burlington Coat Factory Warehouse Corporation;Consumer Goods & Retail
88207482;State Oil Company of the Azerbaijan Republic (SOCAR);Energy & Resources
88210057;PETRONAS Global Sukuk Ltd;Financial Services
88215058;FirstEnergy Solutions Corp.;Energy & Resources
88217496;Wynn Las Vegas LLC;Consumer Goods & Retail
88217861;Wynn Resorts (Macau), SA;Consumer Goods & Retail
88232473;Discovery Communications, LLC;Telecommunications & Media
88239862;Quest Diagnostics Inc.;Healthcare & Pharmaceuticals
88246889;Fresenius US Finance II. Inc;Healthcare & Pharmaceuticals
88295877;Portugal Telecom International Finance Bv;Energy & Resources
88299857;PGE Polska Grupa Energetyczna S.A.;Unassigned
88305456;Caparra Center Associates, LLC;Real Estate & Property
88309857;Gazprom ECP SA;Energy & Resources
88312304;Growthpoint Properties Ltd;Real Estate & Property
88314266;Repsol International Capital Ltd;Energy & Resources
88319857;Midcontinent Express Pipeline LLC;Energy & Resources
88332067;PT Bukit Makmur Mandiri Utama;Energy & Resources
88355256;Arcos Dorados B.V.;Consumer Goods & Retail
88364878;Pitney Bowes International Holdings, Inc.;Professional Services & Consulting
88366454;The Sunrise Holding Group;Telecommunications & Media
88366493;Vodafone West GmbH;Telecommunications & Media
88366544;Lion/Seneca France 2 S.A.S.;Telecommunications & Media
88366649;Braas Monier Building Group Holding S.a.r.l.;Industrial & Manufacturing
88366655;Gala Electric Casinos Ltd.;Consumer Goods & Retail
88366733;Rodenstock GmbH;Industrial & Manufacturing
88366844;Pendragon PLC;Consumer Goods & Retail
88366880;Elior Group S.A.;Consumer Goods & Retail
88366883;Holding d'Infrastructures des Metiers de l'Environnement;Professional Services & Consulting
88366889;HP Pelzer Holding GmbH;Industrial & Manufacturing
88367006;BSN Medical Luxembourg Holding SARL (BSN Medical);Healthcare & Pharmaceuticals
88367039;SOLOCAL Group;Telecommunications & Media
88390859;Mundys S.p.A.;Financial Services
88390863;Autostrade per l'Italia SpA;Transportation & Logistics
88393659;TDIC Sukuk Limited;Financial Services
88405459;PT Adaro Indonesia;Energy & Resources
88410984;Enel Colombia S.A. E.S.P.;Energy & Resources
88410993;Interconexion Electrica S.A. E.S.P.;Energy & Resources
88410995;Promigas S.A. E.S.P.;Energy & Resources
88412665;URENCO Limited;Energy & Resources
88448857;PAO Novatek;Energy & Resources
88455866;Phoenix Energy Group Ltd;Energy & Resources
88455874;Phoenix Natural Gas Finance Plc;Financial Services
88467256;Smithfield Foods, Inc.;Consumer Goods & Retail
88512676;Crown Castle Operating Company;Telecommunications & Media
88512683;CC Holdings GS V LLC;Financial Services
88550459;Toys 'R' Us Property Co. II, LLC;Real Estate & Property
88551462;Edel Capital S.A.;Financial Services
88573861;Energy Future Intermediate Holdings, Inc.;Energy & Resources
88576071;BR Properties SA;Real Estate & Property
88576092;Cencosud S.A.;Consumer Goods & Retail
88576194;Instituto Costarricense de Electricidad y Subsidiarias;Energy & Resources
88577459;Incitec Pivot Ltd.;Industrial & Manufacturing
88634664;Polyus PJSC;Industrial & Manufacturing
88635865;Hindustan Petroleum Corporation Limited;Energy & Resources
88659859;BHP Group (UK) Ltd.;Energy & Resources
88660463;BHP Group Limited;Energy & Resources
88660475;BHP Billiton Finance Ltd;Financial Services
88660480;BHP Billiton Finance (USA) Ltd;Financial Services
88660489;WMC Finance (USA) Ltd;Financial Services
88664866;Wind Acquisition Holdings Finance S.A.;Financial Services
88670459;Corporacion Pesquera Inca SAC (COPEINCA);Industrial & Manufacturing
88709060;OJSC Territorial Generation Company No.2;Energy & Resources
88756459;China Evergrande Group;Real Estate & Property
88756864;Gray Media, Inc.;Telecommunications & Media
88760859;Virgin Media Secured Finance Plc;Telecommunications & Media
88770061;Trans-Allegheny Interstate Line Company;Energy & Resources
88785859;Univar Solutions, Inc.;Healthcare & Pharmaceuticals
88791459;PT Japfa Comfeed Indonesia Tbk;Consumer Goods & Retail
88791470;Advanced Semiconductor Engineering, Inc.;Technology & Software
88791507;Delong Holdings Limited;Consumer Goods & Retail
88791553;CGN New Energy Holdings Co., Ltd.;Energy & Resources
88791577;PT Multipolar Tbk;Energy & Resources
88792059;Star Energy Geothermal (Wayang Windu) Ltd.;Energy & Resources
88798859;NBCUniversal Media, LLC;Telecommunications & Media
88830660;Elm Road Generating Station Supercritical LLC;Energy & Resources
88848864;Union Fenosa Preferentes, S.A;Financial Services
88848869;Union Fenosa Financial Services USA LLC;Financial Services
88853666;Alliance Oil Company Ltd;Energy & Resources
88855859;Unilever Capital Corporation;Consumer Goods & Retail
88856659;Expedia Group, Inc.;Technology & Software
88865465;DPL Capital Trust II;Financial Services
88891459;Wales & West Utilities Finance plc;Utilities
88953859;Public Joint Stock Company Aeroflot - Russian Airlines;Transportation & Logistics
88957070;Wales & West Utilities Limited;Utilities
88972376;Colombia Telecomunicaciones S.A. E.S.P. BIC;Telecommunications & Media
88985059;Mobico Group PLC;Transportation & Logistics
88997059;El Paso Pipeline Partners Operating Company, L.L.C.;Energy & Resources
89004859;MOL Hungarian Oil and Gas Company Plc;Unassigned
89021665;National Semiconductor Corporation;Technology & Software
89023862;Teck Resources Limited;Energy & Resources
89032867;TAURON Polska Energia S.A.;Energy & Resources
89045463;PT Bakrie Telecom Tbk;Telecommunications & Media
89075862;MTU Aero Engines AG;Industrial & Manufacturing
89095262;Fortaleza Materiales, S.A.P.I. de C.V.;Consumer Goods & Retail
89097867;DTEK Finance B.V.;Financial Services
89100268;DCP Midstream, LP;Energy & Resources
89100273;MarkWest Energy Partners LP;Energy & Resources
89104063;Ferrexpo plc;Industrial & Manufacturing
89104864;Braskem Finance Limited;Financial Services
89126063;China Oriental Group Company Limited;Industrial & Manufacturing
89134062;WPP 2008 Ltd;Professional Services & Consulting
89136263;Pepsi-Cola Metropolitan Bottling Company, Inc.;Consumer Goods & Retail
89136665;Seagate HDD Cayman;Technology & Software
89159664;Cooper Industries plc;Industrial & Manufacturing
89204662;BorgWarner Inc.;Industrial & Manufacturing
89235668;Marina District Finance Company, Inc;Financial Services
89295262;Wesfarmers Limited;Consumer Goods & Retail
89307662;Amcor Pty Ltd;Consumer Goods & Retail
89321862;Northern Ireland Electricity Networks Limited;Energy & Resources
89321871;Abengoa S.A.;Energy & Resources
89341665;Hypermarcas S.A.;Consumer Goods & Retail
89387263;Iberdrola Finance Ireland Limited;Energy & Resources
89416862;Ralcorp Holdings Inc.;Consumer Goods & Retail
89426662;Conti-Gummi Finance B.V.;Financial Services
89441463;Unibail-Rodamco-Westfield SE;Real Estate & Property
89457862;Desarrolladora Homex, S.A.B de C.V.;Real Estate & Property
89458262;Caparra Hills, LLC;Real Estate & Property
89463094;Nautilus Inkia Holdings SCS;Energy & Resources
89464462;OOO United Confectioners-Finance;Consumer Goods & Retail
89467862;Bharat Petroleum Corporation Limited;Energy & Resources
89482262;PG&E Corporation;Energy & Resources
89497062;Nomad Foods Europe Midco Limited;Consumer Goods & Retail
89510862;Essar Projects Ltd;Industrial & Manufacturing
89528662;Houghton Mifflin Harcourt Publishers, Inc.;Professional Services & Consulting
89529864;HMH Publishers LLC;Professional Services & Consulting
89529867;Houghton Mifflin Harcourt Publishing Company;Professional Services & Consulting
89552662;Engie Energia Chile S.A.;Energy & Resources
89558662;Coca-Cola European Partners US LLC;Consumer Goods & Retail
89581064;Telefonica Moviles Colombia S.A.;Telecommunications & Media
89583262;Avangardco Investments Public Limited;Energy & Resources
89592663;Dean Holding Company;Consumer Goods & Retail
89605062;Mriya Agro Holding Public Limited;Agriculture
89626662;REI Agro Ltd;Agriculture
89631062;Mylan Inc.;Healthcare & Pharmaceuticals
89637882;Gerdau Holdings Inc.;Industrial & Manufacturing
89637888;GTL Trade Finance Inc.;Financial Services
89642662;Energy Transfer Operating, L.P.;Energy & Resources
89644665;PT Alam Sutera Realty Tbk;Real Estate & Property
89660862;CSN Resources S.A.;Energy & Resources
89661862;Sunoco Logistics Partners Operations L.P.;Energy & Resources
89662868;Marfrig Overseas Ltd;Consumer Goods & Retail
89665062;PJSC Beluga Group;Consumer Goods & Retail
89667265;CSN Islands XII Corp.;Financial Services
89672062;Telemovil Finance Co. Ltd;Telecommunications & Media
89679463;CSN Islands VIII Corp.;Financial Services
89679466;CSN Islands IX Corp.;Financial Services
89679472;CSN Inova Ventures;Financial Services
89685662;Picard Bondco S.A.;Financial Services
89688272;WPE International Cooperatief U.A.;Financial Services
89704865;Voto-Votorantim Overseas Trading Operations III Limited;Financial Services
89704868;Voto-Votorantim Overseas Trading Operations IV Limited;Financial Services
89705462;Gerdau Trade Inc.;Financial Services
89724664;Picard Groupe SAS;Financial Services
89727062;Willow No.2 (Ireland) PLC;Real Estate & Property
89730862;Mapletree Industrial Trust;Real Estate & Property
89745462;PJSC Freight One;Transportation & Logistics
89755662;Yuksel Insaat AS;Industrial & Manufacturing
89770662;Ceagro Agricola Ltda.;Agriculture
89775262;Kernel Holding S.A.;Agriculture
89778462;General Motors Company;Industrial & Manufacturing
89781862;General Motors Holdings LLC;Industrial & Manufacturing
89784662;Fortescue Ltd;Energy & Resources
89785494;SCF Capital Designated Activity Company;Financial Services
89791462;BR Malls International Finance Limited;Financial Services
89820062;Fibria Overseas Finance Ltd.;Financial Services
89824083;Nara Cable Funding Ltd;Financial Services
89834662;JSC AvtoVAZ;Industrial & Manufacturing
89836667;AO Holding Company METALLOINVEST;Industrial & Manufacturing
89851273;Pacnet Limited;Telecommunications & Media
89851663;Sinochem Hong Kong (Group) Company Limited;Energy & Resources
89866262;Afren plc;Energy & Resources
89876462;Inversiones CMPC S.A.;Financial Services
89880062;General Shopping Finance Limited (GSF);Financial Services
89893065;Cosan Overseas Limited;Energy & Resources
89901064;LG&E and KU Energy LLC;Energy & Resources
89912662;MB Finance Company;Financial Services
89914262;Union Pacific Corporation;Transportation & Logistics
89929262;Telenet Finance Luxembourg S.C.A;Telecommunications & Media
89935463;Itabo Dominicana SPV;Energy & Resources
89958462;GeoPark Limited;Energy & Resources
89962062;Premier Foods Finance plc;Consumer Goods & Retail
89989264;Bausch Health Companies Inc.;Healthcare & Pharmaceuticals
89999274;HCA Healthcare, Inc.;Healthcare & Pharmaceuticals
90000062;MSCI Inc.;Technology & Software
90007863;Orlen Capital AB (publ);Financial Services
90015067;Novatek Finance Designated Activity Company;Financial Services
90019262;Calumet, Inc.;Energy & Resources
90026862;Lukoil International Finance BV;Energy & Resources
90027462;Rosneft Finance S.A.;Financial Services
90052262;Clear Channel Worldwide Holdings Inc.;Telecommunications & Media
90057262;Enel Finance International NV;Energy & Resources
90058662;International Endesa BV;Energy & Resources
90095462;Chester Downs and Marina, LLC;Real Estate & Property
90101662;Global Switch Holdings Limited;Technology & Software
90105062;Osprey Acquisitions Limited;Financial Services
90114276;Minor Hotels Europe & Americas, S.A.;Consumer Goods & Retail
90121274;Energy XXI LTD;Energy & Resources
90121280;Energy XXI Gulf Coast, Inc.;Energy & Resources
90147462;Golden Americas Ltd.;Financial Services
90148062;Kinder Morgan Finance Company, LLC.;Financial Services
90157468;Avaya LLC;Technology & Software
90163462;Las Vegas Sands, LLC;Consumer Goods & Retail
90175464;Telenet Finance Luxembourg II S.A;Financial Services
90197865;Huntington Ingalls Industries, Inc.;Industrial & Manufacturing
90208864;Inversiones Alsacia, S.A.;Transportation & Logistics
90233062;Covidien International Finance S.A.;Healthcare & Pharmaceuticals
90236876;Ohio Valley Electric Corporation;Energy & Resources
90238266;China Fishery Group Ltd.;Consumer Goods & Retail
90241283;Electricity Supply Board;Energy & Resources
90246462;Diageo Finance plc;Consumer Goods & Retail
90250675;Pfleiderer Finance B.V.;Financial Services
90253666;West China Cement Limited;Industrial & Manufacturing
90253689;e-netz Suedhessen AG;Energy & Resources
90257667;Labco SA;Healthcare & Pharmaceuticals
90264983;Grifols, S.A.;Healthcare & Pharmaceuticals
90265307;Sunrise Communications Holdings S.A.;Technology & Software
90265313;TeamSystem S.p.A.;Technology & Software
90276463;PT Tower Bersama Infrastructure Tbk;Industrial & Manufacturing
90280064;Metalsa S.A.P.I. de C.V.;Industrial & Manufacturing
90289262;Anglian Water (Osprey) Financing Plc;Utilities
90289673;Priory Group No. 3 plc;Healthcare & Pharmaceuticals
90294665;Maxeda DIY Holding B.V.;Consumer Goods & Retail
90314465;Petrobras International Finance Company (PIFCO);Financial Services
90315662;Winsway Enterprises Holdings Limited;Consumer Goods & Retail
90325670;Eurasia Drilling Company Limited;Energy & Resources
90326468;OJSC Alliance Oil Company;Energy & Resources
90343262;Acquedotto Pugliese S.p.A.;Utilities
90347865;PJSOC Bashneft;Energy & Resources
90351869;GLP Pte. Ltd.;Transportation & Logistics
